,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.66199999999999,66.074,66.444,66.78699999999999,67.113,67.435,67.762,68.095,68.436,68.78399999999999,69.14,69.498,69.851,70.191,70.51899999999999,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.57300000000001,73.598,73.622,73.646,73.671,73.7,73.738,73.78699999999999,73.85300000000001,73.937,74.038,74.156,74.28699999999999,74.429,74.57600000000001,74.725,74.872,75.016
1,Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.292,32.742,33.185,33.624,34.06,34.495,34.928000000000004,35.361,35.796,36.234,36.678000000000004,37.128,37.586999999999996,38.056,38.54,39.039,39.556,40.092,40.65,41.233999999999995,41.853,42.513000000000005,43.217,43.963,44.747,45.566,46.417,47.288000000000004,48.163999999999994,49.028,49.856,50.626999999999995,51.331,51.968,52.538999999999994,53.055,53.533,53.997,54.468,54.958999999999996,55.482,56.044,56.637,57.25,57.875,58.5,59.11,59.693999999999996,60.243,60.754,61.226000000000006
2,Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.251,33.573,33.914,34.272,34.645,35.031,35.426,35.828,36.234,36.64,37.047,37.46,37.878,38.297,38.711999999999996,39.11,39.478,39.81,40.099000000000004,40.344,40.546,40.71,40.848,40.97,41.085,41.193000000000005,41.292,41.382,41.471000000000004,41.571999999999996,41.696000000000005,41.855,42.06,42.32899999999999,42.677,43.125,43.695,44.385,45.192,46.105,47.113,48.2,49.341,50.508,51.676,52.833,53.974,55.096000000000004,56.18899999999999,57.231,58.192
3,Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.278999999999996,63.298,64.187,64.911,65.461,65.848,66.108,66.30199999999999,66.485,66.687,66.933,67.235,67.58,67.95100000000001,68.34100000000001,68.734,69.108,69.447,69.741,69.99,70.207,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.80199999999999,71.86,71.992,72.205,72.495,72.83800000000001,73.208,73.58800000000001,73.955,74.286,74.575,74.82,75.028,75.217,75.418,75.656,75.943,76.281,76.652
4,Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.825064996761,47.4076991023794,47.988878336518205,48.5722294115442,49.1591674208195,49.7443378740763,50.3189999864141,50.8764612861687,51.416869710697604,51.9459457482557,52.4748194266862,53.018564993698796,53.587827024157896,54.1826238131044,54.797431640103,55.42218355591189,56.0450363029634,56.6563753712757,57.25544646441789,57.8514632690778,58.4562169369463,59.082171957145206,59.7335345794102,60.4044863062543,61.080506699146795,61.7399649070434,62.3615506124659,62.9307978780971,63.43973021168261,63.8893299394999,64.3226994663583,64.6903585209736,64.9841511295156,65.3450195372886,65.7100196318053,66.11814121867799,66.4753491047707,66.8165535450604,67.1332679936668,67.42499112642629,67.69493972765571,67.9487321610337,68.1944834458595,68.43963558675321,68.6879445507359,68.9380580557627,69.1863650750761,69.424552198029,69.64697028144879,69.8514338976754,70.04105434661679
6,United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.265,53.312,54.349,55.375,56.385,57.373999999999995,58.33,59.248000000000005,60.12,60.945,61.721000000000004,62.451,63.143,63.802,64.433,65.03699999999999,65.617,66.171,66.70100000000001,67.209,67.696,68.163,68.611,69.04,69.452,69.845,70.219,70.575,70.913,71.234,71.541,71.837,72.122,72.40100000000001,72.67399999999999,72.943,73.21,73.473,73.732,73.987,74.23899999999999,74.487,74.73,74.968,75.2,75.422,75.632,75.828,76.012,76.183,76.344
7,Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.02199999999999,65.141,65.233,65.311,65.388,65.48100000000001,65.60300000000001,65.76,65.953,66.184,66.449,66.74,67.044,67.34899999999999,67.652,67.95,68.248,68.54899999999999,68.85600000000001,69.164,69.464,69.74600000000001,70.003,70.234,70.438,70.623,70.797,70.971,71.155,71.352,71.565,71.79,72.023,72.256,72.48899999999999,72.719,72.947,73.173,73.39699999999999,73.618,73.832,74.039,74.236,74.42399999999999,74.60300000000001,74.775,74.941,75.105,75.268,75.431,75.595
8,Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.971,66.402,66.837,67.27600000000001,67.715,68.152,68.587,69.015,69.425,69.808,70.143,70.411,70.604,70.723,70.774,70.783,70.783,70.798,70.83800000000001,70.89699999999999,70.938,70.91,70.77600000000001,70.51899999999999,70.15,69.69800000000001,69.205,68.732,68.332,68.038,67.87899999999999,67.87,67.99,68.218,68.538,68.938,69.404,69.91199999999999,70.434,70.944,71.40899999999999,71.8,72.112,72.347,72.512,72.625,72.715,72.815,72.946,73.119,73.331
9,American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.115,62.555,62.979,63.385,63.773999999999994,64.148,64.51,64.86399999999999,65.212,65.557,65.89699999999999,66.232,66.558,66.875,67.181,67.479,67.768,68.051,68.328,68.602,68.873,69.141,69.408,69.671,69.931,70.187,70.435,70.675,70.907,71.132,71.351,71.567,71.783,71.999,72.218,72.44,72.663,72.887,73.108,73.327,73.541,73.752,73.957,74.158,74.354,74.544,74.727,74.905,75.078,75.247,75.41199999999999
11,Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8170731707317,70.9731707317073,70.9424390243903,70.91170731707321,70.88097560975609,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.01853658536591,71.0682926829268,71.4575609756098,71.84682926829271,72.2360975609756,72.6253658536586,73.01463414634149,73.34439024390241,73.6741463414634,74.00390243902442,74.3336585365854,74.66341463414629,74.9048780487805,75.14634146341459,75.3878048780488,75.62926829268291,75.87073170731709,76.1517073170732,76.4326829268293,76.71365853658541,76.9946341463415,77.2756097560976,77.37804878048779,77.87804878048779,77.87804878048779,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195
12,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.92195121951221,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.01463414634149,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.81463414634149,74.3170731707317,74.7682926829268,75.21707317073171,75.2658536585366,75.56829268292691,75.6170731707317,75.8170731707317,76.0682926829268,76.41951219512201,76.6682926829268,76.87073170731709,77.319512195122,77.67073170731709,77.87560975609759,78.12682926829271,78.57560975609759,78.6780487804878,78.63170731707321,79.1804878048781,79.3317073170732,79.88048780487809,80.1804878048781,80.4317073170732,80.3317073170732,80.58048780487809
